[00:00 - 00:05] ありますので、またご協力いただけると嬉しいです。
[02:13:53 - 02:13:57] 月はですね、ここだけのお話、もうすでに私の手元にあります。
[02:13:57 - 02:14:05] なので、今ここ終わりましたら、すぐにURLとお渡しさせていただきますので。
[02:14:05 - 02:14:10] あともう一点、ちょっと品物マスクとかユーザーマスクとかその他だと、
[02:14:10 - 02:14:12] こっちの辺ちょっとテストしたいんですけど
[02:14:12 - 02:14:16] テスト環境っていうのはいつ閉じられる感じですか?
[02:14:16 - 02:14:21] いつまで、月末ぐらいまでとかどんぐらいまでしたいですか?
[02:14:21 - 02:14:22] そうですかね
[02:14:22 - 02:14:26] ちょっといきなり出荷指示データを本番に入れるのちょっと怖いので
[02:14:26 - 02:14:28] 11月、11月じゃないな
[02:14:28 - 02:14:32] 10月過ぎてもうすぐちょっと開放して
[02:14:32 - 02:14:35] じゃあその開放例えばいつぐらいまで
[02:14:35 - 02:14:39] 一応ちょっと厳格な期限はないんですけど
[02:14:39 - 02:14:44] 終わったらちょっと閉じていきますので、どのくらい規模をお知らせしますか?
[02:14:44 - 02:14:47] 1月くらいあるとちょっとありがたいかなと思います。
[02:14:47 - 02:14:53] 1月ですね。承知しました。では10月いっぱいまで関係を残すように対応いたします。
[02:14:53 - 02:14:54] はい。
[02:14:54 - 02:14:54] お待ちしております
[02:14:54 - 02:15:12] これも既に本番文書を入れられた私が入ったんですので
[02:15:12 - 02:15:15] これはそのまま下させていただきます
[02:15:15 - 02:15:15] はい
[02:15:15 - 02:15:23] じゃあちょっと現場で少し
[02:15:23 - 02:15:24] ありがとうございました
